player_id,event_date,revenue_amount
cmrzsqccxdlit49z00v2niljt,2026-07-25,6.96
cmrwadv1m4cgt49z0ornasgmi,2026-07-23,11.61
cmryc0ho296yh49z0p0965nva,2026-07-26,11.61
cmrzp3ywad42p49z0m589klau,2026-07-25,11.61
cmrycwpyp99w749z0iwq2zjvt,2026-07-24,11.61
cmry8m4i78w3q49z0vujfsatw,2026-07-24,3.47
cmrtrsi4k0cc049z0qwff8mhv,2026-07-21,11.61
cmrw50khu3ygt49z0al2780vz,2026-07-22,11.61
cmrv78v592fbf49z07wl6w9p7,2026-07-22,11.61
cmrtq74540bbe49z0v2v54g7n,2026-07-20,11.61
cmrl5tqku1ncs49uvb6rjwf71,2026-07-18,11.61
